## log(Us)        xid       nh        (C/O)/(C/O)sol         mup      [OII]3727           Hb           [OIII]4959           [OIII]5007           [NII]6548           Ha           [NII]6584           [SII]6717           [SII]6731           NV1240           CIV1548           CIV1551           HeII1640           OIII]1661           OIII]1666           [SiIII]1883           SiIII]1888           CIII]1908 
 
   -1.0           0.3       100           1.00               300      8.123e+05        4.694e+07        2.509e+07           7.552e+07            3.708e+03        1.349e+08       1.094e+04           3.390e+04           2.615e+04           1.543e+05        2.818e+07         1.480e+07         2.590e+06          4.522e+06           1.111e+07           5.406e+05             8.614e+05            1.759e+07 
   -1.0           0.3      1000           1.00               100      4.140e+05        3.188e+07        1.659e+07           4.993e+07            2.151e+03        9.087e+07       6.348e+03           1.365e+04           1.594e+04           9.240e+04        1.623e+07         8.529e+06         1.170e+06          2.836e+06           6.962e+06           5.187e+05             8.357e+05            1.241e+07 
   -1.0           0.3      1000           1.00               300      5.810e+05        4.734e+07        2.474e+07           7.448e+07            3.103e+03        1.355e+08       9.157e+03           2.178e+04           2.541e+04           1.551e+05        2.755e+07         1.443e+07         2.595e+06          4.334e+06           1.064e+07           6.869e+05             1.106e+06            1.634e+07 
   -1.0           0.3       100           0.72               100      6.623e+05        3.161e+07        1.784e+07           5.370e+07            2.842e+03        9.047e+07       8.386e+03           2.257e+04           1.742e+04           9.245e+04        1.296e+07         7.084e+06         1.169e+06          3.214e+06           7.887e+06           4.356e+05             6.945e+05            1.031e+07 
   -1.0           0.3       100           0.72               300      8.551e+05        4.700e+07        2.665e+07           8.021e+07            3.765e+03        1.351e+08       1.111e+04           3.578e+04           2.760e+04           1.550e+05        2.206e+07         1.197e+07         2.596e+06          4.913e+06           1.206e+07           5.671e+05             9.037e+05            1.360e+07 
   -1.0           0.3      1000           0.72               100      4.361e+05        3.190e+07        1.761e+07           5.302e+07            2.185e+03        9.097e+07       6.447e+03           1.440e+04           1.682e+04           9.298e+04        1.269e+07         6.917e+06         1.173e+06          3.079e+06           7.558e+06           5.446e+05             8.775e+05            9.587e+06 
   -1.0           0.3      1000           0.72               300      6.120e+05        4.740e+07        2.627e+07           7.908e+07            3.151e+03        1.357e+08       9.300e+03           2.298e+04           2.681e+04           1.559e+05        2.154e+07         1.165e+07         2.600e+06          4.707e+06           1.156e+07           7.208e+05             1.161e+06            1.262e+07 
   -1.0           0.3       100           0.52               100      6.880e+05        3.163e+07        1.868e+07           5.622e+07            2.874e+03        9.057e+07       8.481e+03           2.350e+04           1.814e+04           9.289e+04        1.017e+07         5.831e+06         1.172e+06          3.427e+06           8.410e+06           4.515e+05             7.198e+05            7.867e+06 
   -1.0           0.3       100           0.52               300      8.887e+05        4.706e+07        2.790e+07           8.397e+07            3.808e+03        1.353e+08       1.124e+04           3.725e+04           2.874e+04           1.555e+05        1.729e+07         9.716e+06         2.601e+06          5.239e+06           1.286e+07           5.877e+05             9.365e+05            1.038e+07 
   -1.0           0.3      1000           0.52               100      4.534e+05        3.193e+07        1.844e+07           5.549e+07            2.210e+03        9.106e+07       6.522e+03           1.499e+04           1.751e+04           9.341e+04        9.945e+06         5.676e+06         1.175e+06          3.283e+06           8.056e+06           5.649e+05             9.101e+05            7.310e+06 
   -1.0           0.3      1000           0.52               300      6.364e+05        4.745e+07        2.750e+07           8.277e+07            3.189e+03        1.359e+08       9.410e+03           2.392e+04           2.791e+04           1.564e+05        1.685e+07         9.445e+06         2.605e+06          5.017e+06           1.232e+07           7.472e+05             1.203e+06            9.624e+06 
   -1.0           0.3       100           0.38               100      7.073e+05        3.166e+07        1.931e+07           5.814e+07            2.897e+03        9.065e+07       8.550e+03           2.420e+04           1.868e+04           9.320e+04        8.090e+06         5.108e+06         1.174e+06          3.596e+06           8.822e+06           4.634e+05             7.387e+05            5.988e+06 
   -1.0           0.3       100           0.38               300      9.139e+05        4.711e+07        2.885e+07           8.683e+07            3.840e+03        1.355e+08       1.133e+04           3.837e+04           2.960e+04           1.559e+05        1.369e+07         8.388e+06         2.605e+06          5.495e+06           1.349e+07           6.030e+05             9.609e+05            7.900e+06 
