# log(Us)  xid nh alpha [OII]3727 Hbeta [OIII]4959 [OIII]5007 [OI]6300 [NII]6548 Halpha [NII]6584 [SII]6717 [SII]6731 NV1240 CIV1548 CIV1551 HeII1640 OIII]1661 OIII]1666 [SiIII]1883 SiIII]1888 [CIII]1907 CIII]1910 
-1.5 0.3 1000.0 -1.7 3.0318e+41 1.9932e+42 2.4756e+42 7.4515e+42 1.0467e+41 4.5633e+39 5.7982e+42 1.3466e+40 9.1466e+40 7.323e+40 3.1354e+40 2.1145e+42 1.1432e+42 2.1908e+42 2.6525e+41 6.5276e+41 1.9083e+41 1.1661e+41 1.7638e+42 1.1775e+42
-2.5 0.3 1000.0 -2.0 6.1853e+41 1.4213e+42 1.3148e+42 3.9575e+42 5.1098e+40 5.473e+39 4.1555e+42 1.6151e+40 6.5664e+40 6.2754e+40 4.337e+39 4.7154e+41 2.5138e+41 1.0573e+42 8.8989e+40 2.1922e+41 1.4652e+41 8.9677e+40 8.341e+41 5.5784e+41
-2.5 0.3 10000.0 -1.2 9.92e+41 3.5472e+42 2.1627e+42 6.5096e+42 9.2059e+41 3.0371e+40 1.0809e+43 8.9624e+40 5.3562e+41 5.368e+41 1.864e+39 5.3173e+41 2.7416e+41 5.142e+42 1.4053e+41 3.463e+41 2.055e+41 1.669e+41 1.3205e+42 1.072e+42
-2.5 0.3 10000.0 -1.4 8.9107e+41 2.9888e+42 1.9459e+42 5.8573e+42 5.427e+41 2.3716e+40 8.9796e+42 6.9986e+40 3.2157e+41 3.3508e+41 8.6566e+38 3.3746e+41 1.757e+41 3.7779e+42 1.1547e+41 2.8455e+41 1.9607e+41 1.5969e+41 1.0931e+42 8.8942e+41
-2.5 0.3 10000.0 -1.7 7.6436e+41 2.1529e+42 1.3361e+42 4.0218e+42 2.365e+41 1.6808e+40 6.3761e+42 4.96e+40 1.4934e+41 1.7019e+41 1.558e+38 1.1615e+41 6.2608e+40 2.041e+42 6.4856e+40 1.5983e+41 1.3932e+41 1.1426e+41 6.4722e+41 5.2924e+41
-2.5 0.3 10000.0 -2.0 6.628e+41 1.4933e+42 7.5555e+41 2.2742e+42 1.0858e+41 1.2905e+40 4.3875e+42 3.8083e+40 7.6779e+40 9.8015e+40 1.8811e+37 3.2989e+40 1.8574e+40 9.9662e+41 2.9001e+40 7.1474e+40 8.0054e+40 6.6192e+40 3.2481e+41 2.6706e+41
-2.5 0.5 100.0 -1.2 1.0599e+42 3.3397e+42 1.829e+42 5.5054e+42 5.77e+41 1.481e+40 1.0263e+43 4.3705e+40 6.3828e+41 4.4786e+41 6.4749e+40 1.566e+42 8.269e+41 5.3191e+42 1.8539e+41 4.5683e+41 4.9084e+40 2.9045e+40 1.4308e+42 9.3706e+41
-2.5 0.5 100.0 -1.4 9.2148e+41 2.7793e+42 1.7582e+42 5.2922e+42 3.1959e+41 1.0968e+40 8.4103e+42 3.2367e+40 3.9029e+41 2.7609e+41 5.384e+40 1.3258e+42 7.039e+41 3.8989e+42 1.708e+41 4.2084e+41 5.2653e+40 3.116e+40 1.3116e+42 8.5899e+41
-2.5 0.5 100.0 -1.7 6.953e+41 1.9686e+42 1.4116e+42 4.2489e+42 1.1723e+41 7.125e+39 5.8547e+42 2.1026e+40 1.7842e+41 1.2846e+41 3.5913e+40 8.6218e+41 4.6241e+41 2.1169e+42 1.2522e+41 3.0853e+41 4.772e+40 2.825e+40 9.6285e+41 6.3058e+41
-2.5 0.5 100.0 -2.0 5.0713e+41 1.3525e+42 1.0158e+42 3.0575e+42 4.127e+40 4.7956e+39 3.9784e+42 1.4152e+40 8.5905e+40 6.3182e+40 2.1792e+40 4.9418e+41 2.6875e+41 1.0465e+42 8.0519e+40 1.9838e+41 3.7043e+40 2.1941e+40 6.2658e+41 4.1036e+41
-2.5 0.5 1000.0 -1.2 9.5538e+41 3.4196e+42 1.8698e+42 5.6282e+42 6.2188e+41 1.7087e+40 1.0473e+43 5.0425e+40 6.6303e+41 5.0002e+41 5.1512e+40 1.5846e+42 8.3477e+41 5.3591e+42 1.8593e+41 4.5816e+41 4.9999e+40 3.0531e+40 1.4427e+42 9.6362e+41
-1.5 0.3 1000.0 -2.0 2.6823e+41 1.4119e+42 1.6791e+42 5.0539e+42 3.7772e+40 2.8284e+39 4.062e+42 8.3465e+39 4.1727e+40 3.6727e+40 7.5285e+39 8.3049e+41 4.5045e+41 1.0721e+42 1.3709e+41 3.3745e+41 1.6293e+41 9.9706e+40 1.0688e+42 7.1432e+41
-2.5 0.5 1000.0 -1.4 8.3072e+41 2.854e+42 1.7973e+42 5.4097e+42 3.4498e+41 1.2663e+40 8.6055e+42 3.7369e+40 3.9148e+41 3.0466e+41 3.6861e+40 1.308e+42 6.9115e+41 3.9284e+42 1.7007e+41 4.1906e+41 5.3899e+40 3.292e+40 1.3203e+42 8.8197e+41
-2.5 0.5 1000.0 -1.7 6.3576e+41 2.0359e+42 1.4404e+42 4.3355e+42 1.2907e+41 8.1546e+39 6.0337e+42 2.4064e+40 1.6997e+41 1.4201e+41 1.5884e+40 7.7243e+41 4.0976e+41 2.1318e+42 1.2205e+41 3.0072e+41 4.9684e+40 3.0363e+40 9.6173e+41 6.4267e+41
-2.5 0.5 1000.0 -2.0 4.8063e+41 1.4104e+42 1.0278e+42 3.0936e+42 4.7482e+40 5.535e+39 4.1366e+42 1.6334e+40 7.7832e+40 7.1397e+40 4.5369e+39 3.5549e+41 1.9048e+41 1.0537e+42 7.5242e+40 1.8539e+41 3.9529e+40 2.4179e+40 6.0908e+41 4.0723e+41
-2.5 0.5 10000.0 -1.2 7.6586e+41 3.559e+42 1.6642e+42 5.0093e+42 8.155e+41 3.0546e+40 1.0884e+43 9.0141e+40 6.7695e+41 6.507e+41 1.9383e+39 3.7625e+41 1.9443e+41 5.1372e+42 1.1118e+41 2.74e+41 5.2557e+40 4.2633e+40 9.1189e+41 7.3963e+41
-2.5 0.5 10000.0 -1.4 6.8841e+41 2.9977e+42 1.5025e+42 4.5227e+42 4.8097e+41 2.3951e+40 9.0356e+42 7.0679e+40 4.0452e+41 4.0232e+41 9.0252e+38 2.4157e+41 1.2633e+41 3.7749e+42 9.2122e+40 2.2703e+41 5.0493e+40 4.1067e+40 7.599e+41 6.1771e+41
-2.5 0.5 10000.0 -1.7 5.9174e+41 2.1585e+42 1.0369e+42 3.1209e+42 2.0947e+41 1.7051e+40 6.4082e+42 5.0319e+40 1.8522e+41 1.9959e+41 1.6253e+38 8.5283e+40 4.6245e+40 2.0397e+42 5.233e+40 1.2897e+41 3.6182e+40 2.9628e+40 4.5387e+41 3.7074e+41
-2.5 0.5 10000.0 -2.0 5.1488e+41 1.4971e+42 5.8886e+41 1.7725e+42 9.4944e+40 1.311e+40 4.4071e+42 3.8686e+40 9.1597e+40 1.1035e+41 1.9573e+37 2.4901e+40 1.3758e+40 9.9614e+41 2.3613e+40 5.8197e+40 2.093e+40 1.7277e+40 2.2936e+41 1.8837e+41
-1.5 0.3 10000.0 -1.2 9.3597e+41 3.7085e+42 2.3387e+42 7.0395e+42 1.1083e+42 3.9688e+40 1.1321e+43 1.1712e+41 6.2164e+41 6.207e+41 2.2586e+39 6.1886e+41 3.1941e+41 5.2369e+42 1.5923e+41 3.9238e+41 2.1736e+41 1.7614e+41 1.4494e+42 1.1746e+42
-1.5 0.3 10000.0 -1.4 8.276e+41 3.08e+42 2.0875e+42 6.2833e+42 6.4549e+41 2.8384e+40 9.2369e+42 8.3762e+40 3.7938e+41 3.8675e+41 1.01e+39 3.8238e+41 1.9905e+41 3.8201e+42 1.2825e+41 3.1603e+41 2.0721e+41 1.6849e+41 1.1818e+42 9.6038e+41
-1.5 0.3 10000.0 -1.7 7.2315e+41 2.1948e+42 1.4057e+42 4.2311e+42 2.6769e+41 1.7869e+40 6.4612e+42 5.2731e+40 1.7031e+41 1.8664e+41 1.7127e+38 1.2523e+41 6.7442e+40 2.0441e+42 6.9436e+40 1.7111e+41 1.4518e+41 1.1896e+41 6.8089e+41 5.5643e+41
-1.5 0.3 10000.0 -2.0 6.4521e+41 1.5092e+42 7.7832e+41 2.3427e+42 1.1507e+41 1.2972e+40 4.4138e+42 3.8281e+40 8.1206e+40 1.0058e+41 1.9712e+37 3.4159e+40 1.9285e+40 9.898e+41 3.0067e+40 7.4099e+40 8.1851e+40 6.7651e+40 3.3362e+41 2.7423e+41
-1.5 0.5 100.0 -1.2 2.5082e+41 2.5435e+42 1.7715e+42 5.3323e+42 3.4717e+41 7.2394e+39 7.8072e+42 2.1363e+40 3.324e+41 2.3169e+41 2.3765e+41 2.6762e+42 1.6376e+42 5.1413e+42 3.8792e+41 9.5503e+41 2.5265e+40 1.4957e+40 9.9333e+41 6.5041e+41
-1.5 0.5 100.0 -1.4 1.8212e+41 1.9811e+42 1.7515e+42 5.272e+42 1.8188e+41 3.8624e+39 5.9578e+42 1.1398e+40 1.9226e+41 1.3429e+41 1.924e+41 2.3862e+42 1.5263e+42 3.7512e+42 3.4776e+41 8.5587e+41 2.8245e+40 1.6728e+40 9.923e+41 6.4975e+41
-1.5 0.5 100.0 -1.7 1.1877e+41 1.3572e+42 1.4852e+42 4.4705e+42 5.8198e+40 1.5976e+39 3.978e+42 4.7146e+39 7.3358e+40 5.1639e+40 1.1994e+41 1.6223e+42 1.0883e+42 2.0454e+42 2.4379e+41 5.9965e+41 2.717e+40 1.6109e+40 8.0961e+41 5.3014e+41
-1.5 0.5 100.0 -2.0 8.3473e+40 9.6741e+41 1.1267e+42 3.3912e+42 1.6705e+40 8.4189e+38 2.7906e+42 2.4844e+39 2.7167e+40 1.943e+40 6.4889e+40 9.6582e+41 6.5065e+41 1.0227e+42 1.4742e+41 3.6243e+41 2.2599e+40 1.3425e+40 5.7533e+41 3.7676e+41
-1.5 0.5 1000.0 -1.2 3.5442e+41 3.3016e+42 2.4941e+42 7.5074e+42 4.5104e+41 1.2788e+40 1.0096e+43 3.7738e+40 4.2865e+41 3.1771e+41 1.6426e+41 3.4909e+42 2.077e+42 5.6229e+42 4.3025e+41 1.0595e+42 4.2421e+40 2.5866e+40 1.8077e+42 1.2046e+42
-1.5 0.5 1000.0 -1.4 2.8921e+41 2.6916e+42 2.4003e+42 7.2248e+42 2.5018e+41 8.188e+39 8.0702e+42 2.4163e+40 2.5582e+41 1.9212e+41 9.9589e+40 2.8312e+42 1.6847e+42 4.065e+42 3.6225e+41 8.919e+41 4.8889e+40 2.9823e+40 1.7258e+42 1.1506e+42
-1.5 0.5 1000.0 -1.7 2.339e+41 1.93e+42 1.8944e+42 5.7022e+42 9.4229e+40 4.4243e+39 5.661e+42 1.3056e+40 1.1087e+41 8.6844e+40 3.333e+40 1.5518e+42 8.9421e+41 2.1768e+42 2.2274e+41 5.4842e+41 5.0662e+40 3.0938e+40 1.2824e+42 8.558e+41
-1.5 0.5 1000.0 -2.0 2.082e+41 1.3722e+42 1.3101e+42 3.9436e+42 3.4771e+40 2.824e+39 3.9725e+42 8.3337e+39 5.0019e+40 4.2572e+40 7.8964e+39 6.372e+41 3.5278e+41 1.0676e+42 1.1819e+41 2.9103e+41 4.463e+40 2.7291e+40 7.9324e+41 5.2995e+41
-1.5 0.5 10000.0 -1.2 7.2142e+41 3.6987e+42 1.7999e+42 5.4178e+42 9.3394e+41 3.8492e+40 1.1366e+43 1.1359e+41 7.2578e+41 7.0397e+41 2.3487e+39 4.3823e+41 2.2644e+41 5.2326e+42 1.2606e+41 3.1065e+41 5.5608e+40 4.5008e+40 1.0015e+42 8.1091e+41
-1.5 0.5 10000.0 -1.4 6.391e+41 3.0739e+42 1.6124e+42 4.8533e+42 5.5437e+41 2.8111e+40 9.273e+42 8.2956e+40 4.5287e+41 4.4619e+41 1.0542e+39 2.7417e+41 1.4324e+41 3.8171e+42 1.0247e+41 2.5253e+41 5.3422e+40 4.3375e+40 8.2264e+41 6.6786e+41
