## log(Us)        xid       nh        (C/O)/(C/O)sol         mup      [OII]3727           Hb           [OIII]4959           [OIII]5007           [NII]6548           Ha           [NII]6584           [SII]6717           [SII]6731           NV1240           CIV1548           CIV1551           HeII1640           OIII]1661           OIII]1666           [SiIII]1883           SiIII]1888           CIII]1908 
 
   -1.0           0.3       100           0.20               300      2.841e+06        1.059e+07        3.564e+07           1.073e+08            2.328e+04        3.017e+07       6.869e+04           1.075e+05           8.294e+04           5.308e+05        1.718e+06         1.384e+06         1.005e+06          2.937e+06           6.898e+06           5.815e+05             9.323e+05            2.977e+06 
   -1.0           0.3      1000           0.20               100      1.562e+06        6.229e+06        1.947e+07           5.860e+07            1.340e+04        1.760e+07       3.955e+04           3.734e+04           4.406e+04           2.729e+05        8.578e+05         7.020e+05         2.678e+05          1.436e+06           3.357e+06           4.669e+05             7.592e+05            1.970e+06 
   -1.0           0.3      1000           0.20               300      2.333e+06        1.075e+07        3.600e+07           1.083e+08            2.094e+04        3.046e+07       6.179e+04           6.984e+04           8.224e+04           5.318e+05        1.715e+06         1.380e+06         1.006e+06          2.923e+06           6.867e+06           7.107e+05             1.152e+06            2.934e+06 
   -1.0           0.3       100           0.14               100      1.954e+06        6.143e+06        1.948e+07           5.862e+07            1.561e+04        1.744e+07       4.605e+04           5.826e+04           4.498e+04           2.743e+05        7.759e+05         6.418e+05         2.675e+05          1.466e+06           3.426e+06           3.656e+05             5.887e+05            1.407e+06 
   -1.0           0.3       100           0.14               300      2.866e+06        1.059e+07        3.619e+07           1.089e+08            2.341e+04        3.016e+07       6.909e+04           1.088e+05           8.395e+04           5.316e+05        1.533e+06         1.259e+06         1.005e+06          3.010e+06           7.068e+06           5.863e+05             9.399e+05            2.118e+06 
   -1.0           0.3      1000           0.14               100      1.576e+06        6.227e+06        1.974e+07           5.942e+07            1.348e+04        1.760e+07       3.978e+04           3.779e+04           4.459e+04           2.734e+05        7.761e+05         6.432e+05         2.680e+05          1.467e+06           3.428e+06           4.706e+05             7.653e+05            1.398e+06 
   -1.0           0.3      1000           0.14               300      2.355e+06        1.074e+07        3.655e+07           1.100e+08            2.107e+04        3.046e+07       6.217e+04           7.071e+04           8.326e+04           5.326e+05        1.527e+06         1.256e+06         1.006e+06          2.997e+06           7.036e+06           7.174e+05             1.163e+06            2.088e+06 
   -1.0           0.3       100           0.10               100      1.965e+06        6.142e+06        1.966e+07           5.918e+07            1.566e+04        1.744e+07       4.622e+04           5.873e+04           4.534e+04           2.747e+05        7.155e+05         5.855e+05         2.675e+05          1.488e+06           3.475e+06           3.672e+05             5.912e+05            1.015e+06 
   -1.0           0.3       100           0.10               300      2.884e+06        1.059e+07        3.656e+07           1.101e+08            2.350e+04        3.016e+07       6.936e+04           1.097e+05           8.465e+04           5.322e+05        1.405e+06         1.140e+06         1.005e+06          3.062e+06           7.188e+06           5.896e+05             9.452e+05            1.530e+06 
   -1.0           0.3      1000           0.10               100      1.586e+06        6.226e+06        1.993e+07           5.999e+07            1.353e+04        1.760e+07       3.993e+04           3.810e+04           4.495e+04           2.738e+05        7.163e+05         5.876e+05         2.681e+05          1.489e+06           3.478e+06           4.733e+05             7.695e+05            1.008e+06 
   -1.0           0.3      1000           0.10               300      2.370e+06        1.074e+07        3.693e+07           1.112e+08            2.115e+04        3.045e+07       6.243e+04           7.129e+04           8.395e+04           5.331e+05        1.401e+06         1.138e+06         1.006e+06          3.049e+06           7.156e+06           7.221e+05             1.170e+06            1.508e+06 
   -1.0           0.5       100           1.40               100      8.978e+05        3.594e+06        8.078e+06           2.432e+07            9.132e+03        1.021e+07       2.695e+04           3.376e+04           2.606e+04           2.622e+05        1.458e+06         9.203e+05         2.163e+05          7.096e+05           1.702e+06           6.737e+04             1.085e+05            6.222e+06 
   -1.0           0.5       100           1.40               300      1.371e+06        6.347e+06        1.482e+07           4.460e+07            1.446e+04        1.812e+07       4.267e+04           6.378e+04           4.921e+04           5.078e+05        3.317e+06         1.864e+06         8.227e+05          1.380e+06           3.320e+06           1.061e+05             1.701e+05            9.116e+06 
